question,answer
define what a seed class is?,"The categorization of seed according to genetic purity and quality standards. The seed classes adopted in these guidelines are Nuclear stock, Basic seed, Certified 1, Certified 2 and QDS."
what is top-dressing?,op-dressing kizingiramu okusiiga ekigimusa ku ttaka okwetooloola omusingi gw’ebimera by’ebinyeebwa oluvannyuma lw’okusooka okusaawa. Enkola eno esobozesa ekigimusa okubeera butereevu ku bikoola by’ebimera era kisobola okulongoosa enyingiza y’ebiriisa n’amakungula.
What are the benefits of processing and packaging low crops,"Value addition: Processing and packaging add value to the crops, making them more marketable and increasing their economic value. Processed products, such as cassava flour, starch, chips, or other derived products, often have higher market demand and can fetch higher prices than raw crops. Longer shelf life: Proper processing and packaging techniques can help extend the shelf life of low crops. By reducing moisture content, controlling microbial growth, and protecting against pests and spoilage, processed and packaged products can be stored for longer periods, reducing post-harvest losses. Market access and diversification: Processed and packaged products have better market access compared to raw crops. They can be transported more easily, reach distant markets, and cater to specific consumer demands. This diversification allows farmers to explore different market channels and potentially increase their income. Convenience and consumer appeal: Processed and packaged products offer convenience and ease of use for consumers. They are often ready-to-use or require minimal preparation, making them more attractive to busy consumers. Additionally, attractive packaging and labeling can enhance product appeal and create brand recognition. Value chain development: Processing and packaging low crops can contribute to the development of the agricultural value chain. It creates opportunities for agro-processing industries, job creation, and skills development. This can have positive socio-economic impacts on rural communities and contribute to overall agricultural development."
Farmers are focused on conserving water for several reasons,1) Abalimi bakimanyi nti amazzi agonoonese gayinza okutegeeza obutaba na kyabugagga kya birime eby’omu maaso. 2) Amazzi ga bbeeyi. Amazzi agayonoonebwa ssente ezibula. 3) Abalimi balimi. Bakozesa tekinologiya omutuufu okumanya amazzi amatuufu ekimera ge kyetaaga okukula. Ebisusse biyinza okutegeeza nti okufulumya obubi. 4) Abalimi bangi beesigama ku Nnyaffe Obutonde okufuna amazzi.
Suggest the advantages of clay soil,"Poor drainage: Clay soils have small pore spaces, which can lead to slow drainage and waterlogging in areas with heavy rainfall. This can reduce soil aeration and lead to root rot in some crops. Heavy and difficult to work: Clay soils are heavy and can be difficult to till and cultivate with farming equipment. Slow to warm up: Clay soils can be slow to warm up in the spring, which can delay planting and crop growth. Prone to compaction: Clay soils are prone to compaction, which can reduce soil aeration and root growth."
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
which type of weed control involves the use of herbicides to control weeds in the cassava field,Okuziyiza omuddo mu ngeri ey’eddagala
which kind of cultivation is sometimes referred to as slash and burn.,Shifting cultivation
how does S. exempta reduce the risk of SpexNPV,nga bayita mu kuziyiza okusinziira ku density
what the advantages of natural food?,kifuula ente okuvaamu amata amangi ate enkoko ne zivaamu amagi amangi
why is fertilizer used in soil management?,to provide the necessary nutrients for optimal crop growth.
What is the importance of the storage organs to plants,"Storage organs, such as tubers, bulbs, and rhizomes, act as reservoirs for storing nutrients. These organs accumulate and store carbohydrates, proteins, and other essential nutrients during periods of active growth. The stored nutrients can be utilized by the plant during periods of dormancy, unfavorable conditions, or for supporting new growth."
What is the appropriate distance for planting beans,"The appropriate distance for planting beans can vary depending on several factors such as the bean variety, soil fertility, and available resources. However, as a general guideline, bush beans are typically planted with a spacing of 6-8 inches (15-20 cm) between plants and 18-24 inches (45-60 cm) between rows. This spacing allows the plants to have enough room for proper growth, airflow, and access to sunlight. For pole beans, which require support, you can plant them in rows spaced about 3 feet (90 cm) apart, with the plants spaced 6-8 inches (15-20 cm) apart within the rows."
can some diseases be transmitted when using seed for propagation?,"Some diseases can be transmitted through seeds, potentially leading to crop loss."
what are some of the consideration to be done during ban placement of fertilizers.,"specific crop, soil conditions, and nutrient requirements"
why do climbing beans have higher yields than bush beans.,kubanga zisobola okukula obuwanvu ne zivaamu amajaani n’ebikoola bingi buli kimera
what are some of the preventive measures for managing CMD,"planting virus-free or resistant cassava varieties, practicing good field sanitation, and controlling whitefly populations through integrated pest management strategies. Early detection and removal of infected plants can also help prevent the spread of the disease within a field or area."
what is GMO in full?,Ebirime Ebikyusiddwa mu Buzaale
which sugary substance is secreted by cassava whitefly that can promote the growth of sooty mold and attract other insects to the plant.,omubisi gw’enjuki
what does S. exempta larvae feeds on?,Poaceae
What are the example of bitting and chewing pest,"Caterpillars: Caterpillars are the larvae of butterflies and moths. They have strong mandibles and feed on leaves, causing defoliation. Examples include armyworms, cutworms, and corn earworms. Beetles: Beetles have biting mouthparts and can cause damage by feeding on leaves, stems, and fruits. Examples include Colorado potato beetle, cucumber beetle, and flea beetles."
what causes the green coloration in Solitaria larvae,This green coloration is due to both pigmentation and ingested plant material visible in the gut
What is the difference between maize cob and ordinary milled in terms of food value,"ekikuta ky’emmwaanyi kiyinza okuba ensibuko y’emmere y’ebisolo, emmwaanyi ezisibiddwa zirina omuwendo gw’emmere ogw’amaanyi era mmere nkulu eri abantu bangi okwetoloola ensi yonna."
What is the process of field drying and threshing maize?,Post-harvest management
what are Fertilizers?,are substances that are added to soil to improve plant growth and increase crop yields
How can I increase the yield of my potato crop?,"Potato yield can be increased by taking steps to improve soil fertility, such as using organic matter and maintaining proper soil pH"
what is cassava mealybug,kiwuka kitono ekisonseka omubisi nga kirya ekimera kya muwogo
why do livestock require a steady supply of food and water.,to maintain their health and productivity.
what is the basic principle of organic farming,keeping the soil rich with nutrients by feeding it natural fertilizers such as cow manure
how were the primitive milking machine used?,yakozesanga ebikoola by’eŋŋaano ebirimu ebituli ebiyingizibwa mu mabeere okukama ente
Which chemical is best for preserving beans seeds for long periods against weevils,"The chemical most commonly used for preserving beans seeds against weevils is called diatomaceous earth. It is a natural, non-toxic substance made from the fossilized remains of diatoms, which are a type of algae. When diatomaceous earth is applied to bean seeds, it dehydrates and kills the weevils by drying out their outer layer."
Is agriculture a necessary industry?,Agriculture is a necessity!
name the phase in polyphenism in which the larvae raised in isolation turns green,solitaria
why do farmers practice irrigation.,to conserve water while ensuring that crops receive the necessary moisture for healthy growth.
What is the ideal planting density for maize?,"The ideal planting density for maize can vary depending on the specific climate and soil conditions. In general, a planting density of around 70,000 to 80,000 plants per hectare is recommended for optimal yield. However, the ideal density may vary depending on factors such as the variety of maize being planted and the availability of water and nutrients"
Which pests affects mostly beans?,Bean weevils
"How is the spread of armyworms facilitated, and why is it challenging to contain their spread?","The spread of armyworms is facilitated by their ability to fly long distances, which makes it difficult to contain their spread. The pest can also survive in crop residues, making it challenging to eradicate them completely"
Name cultural techniques for managing crop nutrients use.,crop rotation or a fallow period
name any veterinary care that should be given to livestock,routine check-ups and vaccinations
name any example of cover crops that can be grown together with cassava.,mucuna oba ebinyeebwa bya velvet
name plants that uses C3 carbon fixation.,alfalfa ne soya
How can i control pests locally in stored beans,"Proper cleaning and storage: Thoroughly clean the storage containers or structures before storing beans to remove any existing infestations. Use airtight containers with tight-fitting lids to prevent pest entry. Physical methods: Handpicking and manually removing pests from the beans can be effective, especially if the infestation is limited. Use a sieve or mesh screen to sift the beans and separate any pests present."
"which variety is grown in Colombia and is known for its high yield potential, disease resistance, and good processing qualities.",COCU 001
name examples of compound fertilizers.,"NPK (Nitrogen-Phosphorus-Potasium) 15:15:15, NPK 17:17:17, or NPK 20:10:10"
what is Couch grass?,is a persistent weed that can be difficult to control in cassava gardens
Name the virus that causes Cassava Brown Steak Disease.,Akawuka akayitibwa Cassava Brown Streak Virus (CBSV) ne kawuka ka Ugandan Cassava Brown Streak Virus (UCBSV)
how long does the adult live.,up to 14 days.
what is the best spacing for cassava.,ebanga lya mita 1-1.5 wakati w’ennyiriri ne mita 0.75-1 wakati w’ebimera
whats the botanical name of african armyworm,Spodoptera exempta
what are some of the challenges in growing apples?,� Apple seedlings are imported and costly � Birds and thieves are giving many farmers sleepless nights. � Few areas are favourable for Apple Growing � High competition with imported apples Market
name the application of the cassava glue.,"paper mache, okusiba ebitabo, n’okukola embaawo"
why does Propagating cassava through stems very easy.,stem cuttings is relatively easy and requires minimal technical knowledge. Farmers can easily obtain stem cuttings from healthy cassava plants and plant them in their fields
Which chemical is best for preserving beans seeds for long periods against weevils,"The chemical most commonly used for preserving beans seeds against weevils is called diatomaceous earth. It is a natural, non-toxic substance made from the fossilized remains of diatoms, which are a type of algae. When diatomaceous earth is applied to bean seeds, it dehydrates and kills the weevils by drying out their outer layer."
Testing Cassava?,There are various tests that can be done on cassava like testing for viruses.
"how does precision agriculture technologies, such as remote sensing, soil sensors, and variable-rate application systems help farmers and agronomist.",kiriza abakugu mu by’obulimi okulongoosa enkozesa y’ebigimusa nga basiiga ebiriisa mu kifo kyennyini ne ddi lwe byetaagisa. Kino kiyamba okukendeeza ku kasasiro n’okukosebwa obutonde bw’ensi.
"How is the spread of armyworms facilitated, and why is it challenging to contain their spread?","The spread of armyworms is facilitated by their ability to fly long distances, which makes it difficult to contain their spread. The pest can also survive in crop residues, making it challenging to eradicate them completely"
what are nitrogen fertilizers?,"These fertilizers are designed to provide nitrogen, which is an essential nutrient for plant growth"
Name the most common types of beans that are milled for human consumption.,"black beans, navy beans, and pinto beans"
what farming technique is used to supplement rainfall in areas of low rainfall.,irrigation
what are nitrogen fertilizers?,"These fertilizers are designed to provide nitrogen, which is an essential nutrient for plant growth"
how do farmers control insects?,prevent insect damage by putting up insect traps or by bringing in beneficial insects that feed on the harmful ones that are causing a problem.
Is there difference between fresh and dry maize in terms of the food value.,"Yee, waliwo enjawulo wakati w’emmwaanyi empya n’enkalu mu muwendo gw’emmere yazo. Emmwaanyi omubisi amanyiddwa nga kasooli omuwoomu, akungula ng’enkwaso zikyali nnyogovu ate nga zirimu ssukaali mungi. Ate emmwaanyi enkalu zirekebwa ku bikoola okukala n’okukula, ekivaamu ebikuta ebikalu era ebirimu sitaaki."
how does farm yard manure (FYM) helps preserve moisture in the soil.,"FYM, being an organic matter, has the ability to improve soil structure and increase its water-holding capacity. It enhances the soil's ability to retain moisture and reduces water runoff or drainage, allowing the water to stay within the root zone of the plants for a longer time."
define genetic engineering.,This involves inserting genes from other organisms into maize plants to create new varieties with desirable traits such as resistance to pests or diseases.
What is a silo?,"silos are used to store silage, which is animal feed"
What is the best way to store harvested wheat to prevent spoilage?,Harvested wheat should be stored carefully to prevent spoilage and maintain quality
what activities are necessary for ensuring healthy and high-yielding cassava crops.,"Regular weeding, fertilization, and pest and disease control measures"
Which crops are most susceptible to armyworm infestation in Uganda?,"kasooli, muwogo, emmwaanyi, n’omuceere"
what is top-dressing?,op-dressing involves applying fertilizer on the soil surface around the base of the bean plants after the first weeding. This method allows the fertilizer to be directly available to the plants' roots and can improve nutrient uptake and yield.
when do primary outbreaks occurs?,"occur with relatively inconspicuous, low-density populations that can survive without frequent rainfal"
Where can we farmers get the beans seeds with iron content?,Look for seed suppliers that specialize in breeding and supplying seeds with higher iron content. You can search online for seed suppliers in your area or contact your local agricultural extension office for recommendations.
How can a farmer control termites,"One of the best ways to control termites is through good cultural practices. This includes maintaining good soil health and fertility, avoiding over-watering or waterlogging, and keeping crop residues and weeds under control. These practices can help to create a less favorable environment for termites and reduce their populations."
what do i look when inspect the packaging.,"Look for signs of tampering, such as broken seals or mismatched packaging, which may indicate that the product is fake."
how long should the cassava stem be cut?,20-30 cm long
what happens to African armyworms first after emerging from pupation,hey leka emibiri gyazo okukala n’ebiwaawaatiro byazo okukaluba nga tezinnaba kulinnya miti
define Genetically modified organisms.,bye biramu ebikyusiddwa obuzaale bwabyo olw’obukodyo bwa yinginiya w’obuzaale okutwalira awamu obumanyiddwa nga tekinologiya wa recombinant DNA
what are some of the challenges in growing apples?,Ensigo z’obulo ziyingizibwa mu ggwanga era zigula ssente nnyingi Ebinyonyi n’ababbi bawa abalimi bangi otulo. Ebitundu bitono ebirungi eri Apple Growing Okuvuganya okw’amaanyi n’obulo obuyingizibwa mu ggwanga Akatale
A large diary cows can eat up of?,150 pounds
Which stage do cassava need enough rain and sunshine.,"Cassava needs a good amount of rainfall during its early vegetative stage, which is the first 3 to 4 months after planting. During this time, cassava requires about 500 to 1000 mm of rainfall. Adequate rainfall during this stage is crucial for good root development."
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
Which type of fertilizer is good to apply for beans,"Regarding the best fertilizers for beans, it is important to consider the nutrient status of the soil and to follow soil test recommendations"
what is mechanical planting?,"kizingiramu okukozesa ebyuma okusimba ebikoola bya muwogo, ekikekkereza obudde n’abakozi bw’ogeraageranya n’okusimba n’emikono."
how effective is hand-pulling as way of controlling Couch grass.,it can be effective in small gardens or in areas where couch grass is not too widespread
what is RFID in full,Radio frequency identification
what is micropropagation.,The practice of rapidly multiplying stock plant material to produce a large number of progeny plants using plant tissue culture techniques
how can farmers control pest.,"Okusobola okulwanyisa ebiwuka bino, abalimi basobola okwettanira enkola eziwerako omuli okukozesa ebika by’ebinyeebwa ebigumira obulwadde, okusimba mu kiseera ekituufu, okwegezaamu mu kukyusakyusa ebirime, okukozesa ebisolo ebirya ebiwuka eby’obutonde n’ebiwuka, n’okusiiga eddagala bwe kiba kyetaagisa"
what is Conservation tillage.,Conservation tillage involves reducing or eliminating plowing and other tillage operations that can disturb the soil structure and reduce soil organic matter
name any materials that can be use mulch on the farm.,"straw, leaves, or wood chips"
how long should the cassava stem be cut?,20-30 cm long
what are Glueboards used for?,for monitoring cockroaches and to catch rodents.
how many bristles do female armyworms have?,females have multiple
A large diary cows can eat up of?,150 pounds
which part of cassava is affected by CBSD,emirandira
name the symptoms of cassava whitefly.,"okukala, okufuuka okwa kyenvu kw’ebikoola, n’okulemererwa okukula"
name any form of Motorized mechanization in agricultural autoation.,ploughing and milking
which agricultural products accounted for the exports in 2019,"soya, ennyama y’ente, ennyama y’ente, ennyama y’embizzi, enkoko n’ebibala n’enva endiirwa ebibisi n’ebirongooseddwa"
Suggest the advantages of sandy soil,"Good drainage: Sandy soils have large pore spaces, which allow for rapid drainage of water. This can be an advantage in areas with heavy rainfall, as it helps to prevent waterlogging and improves soil aeration. Easy to work: Sandy soils are generally loose and easy to till, making them suitable for cultivation with various farming equipment. Warm up quickly: Sandy soils warm up quickly in the spring, which can be advantageous for early planting and crop growth. Low compaction: Sandy soils are less prone to compaction, which can be beneficial for root growth and nutrient uptake."
Which type of fertilizer can you use in soil before planting maize?,ekigimusa kya phosphorus
"If a farm is large, does that mean it is a corporate farm?","Olw’okuba ffaamu nnene mu bungi bwa yiika, tekitegeeza nti ffaamu ya kkampuni"
"During Food Supply Continuum, what processes are included inside pre-harvest phase.","omulimi oba omulimi, okutambuza ekintu ekyo, n’okutunda ekintu ekyo"
what is the botanical name for cassava mealybug,Phenacoccus manihoti
how can proper sanitation be used to control root rot.,"Ebisasiro by’ebimera ebirimu obuwuka birina okuggyibwa mu nnimiro, n’ebikozesebwa n’ebikozesebwa birina okutta obuwuka okutangira okuvunda kw’ebikoola okusaasaana."
how can nutrient management help in improving red soil.,"Conduct a soil test to determine the nutrient deficiencies in the soil. Based on the test results, apply the necessary fertilizers to provide adequate levels of essential nutrients, such as nitrogen, phosphorus, and potassium. This helps to optimize plant growth and yield."
why are farmers are often advised to spray pesticides in the morning.,"Temperature and humidity: Morning hours typically have cooler temperatures and higher humidity levels, which create favorable conditions for effective pesticide application. Low temperatures reduce the risk of evaporation, allowing the pesticide to stay on the plant surfaces longer. Higher humidity helps the pesticide droplets to spread and adhere to the plant surfaces. Wind conditions: Generally, wind speeds are lower during the morning hours, reducing the risk of pesticide drift. Calm or gentle breezes help ensure that the pesticide is applied to the target plants without being carried away to non-target areas. Pest activity: Many pests, such as insects and mites, tend to be more active during the early morning hours. By spraying at this time, the pesticide can directly target and control the pests while they are actively feeding or moving. Preservation of beneficial insects: Spraying in the morning allows beneficial insects, such as bees and butterflies, to forage on flowers and perform pollination activities during the day. Since these insects are crucial for crop pollination and ecological balance, it is important to minimize their exposure to pesticides. Spraying in the morning allows the pesticide residues to degrade or dry off before the peak activity of beneficial insects."
What are Community seed banks,Bbanka z’ensigo z’omu kitundu ze tterekero ly’ensigo n’ebitemeddwa mu kitundu ebituukagana n’obutonde bw’ensi. Ensigo zino zitera okuddukanyizibwa abalimi bennyini era zisobola okuba ensibuko ennungi ey’ensigo n’ebiteme eby’omutindo.
What is threshing?,separate the beans from the pods and other debris
what is the approximate Global agricultural production of food.,11 billion tonnes
why do we manage soil quality?,okuvaamu embeera ennungi ebirime okusobola okukula obulungi
what are Herbicide resistant seeds.,"have a gene implanted into their genome that allows the plants to tolerate exposure to herbicides, including glyphosate"
What causes shriveling and rotting of beans seed.?.,"Endwadde za ffene ne bakitiriya: Obulwadde bwa ffene ne bakitiriya obuwerako busobola okusiiga ensigo z’ebinyeebwa ne zivunda. Endwadde ezitera okukwatibwa mulimu okuvunda kw’ensigo, okukendeera kw’ensigo, n’okuzimba ensukusa. Endwadde zino zitera okukula mu mbeera ennyogovu era ziyinza okuvaako ensigo okuvunda n’okwonooneka."
how is glue made from cassava?,"Okukola kalaamu ya muwogo, ekikolo kya muwogo kisooka kusekula, kinaazibwa ne kisekula ne kifuuka ekikuta. Oluvannyuma ekikuta kino kinnyikiddwa mu mazzi okufulumya sitaaki, oluvannyuma n’ayawulwa ku kintu ekirimu obuwuzi. Oluvannyuma sitaaki ayokebwa n’atabulwa mu mazzi okukola ekikuta ekinene era ekikwatagana."
May we farmers know the uses of water in the soil,"Water is necessary for plants to absorb nutrients from the soil. Water dissolves nutrients and makes them available to plant roots, which can then take up the nutrients they need for growth."
can educating farmers help improve productivity?,Educating farmers on the best practices for growing maize can help to improve their productivity and increase the yield of local maize breeds.
what is multiple cropping.,ebirime ebiwerako birimibwa mu mutendera mu mwaka gumu
What bean variety fetch high price on market?,"Kidney beans (Phaseolus vulgaris): They are large, kidney-shaped beans with a smooth texture and a rich, meaty flavor. They are often used in chili, soups, and stews. Black beans (Phaseolus vulgaris): These beans have a dense, creamy texture and a slightly sweet, earthy flavor. They are commonly used in Latin American and Caribbean cuisine. Pinto beans (Phaseolus vulgaris): They are medium-sized beans with a speckled appearance and a creamy texture. Pinto beans are popular in Mexican and Southwestern cuisine. Navy beans (Phaseolus vulgaris): These small, white beans have a mild flavor and a smooth texture. They are often used in baked beans and soups. Cannellini beans (Phaseolus vulgaris): These Italian white beans have a creamy texture and a mild, nutty flavor. They are commonly used in Mediterranean dishes."
name any other way of storing cassava.,Kozesa ebibya ebituufu
what is Aquaculture,production of fish for human consumption
how can farmers use diatomaceous earth.,"Okukozesa ettaka erya diatomaceous, bumala kulitabula mu nsigo z’ebinyeebwa ku sipiidi ya kkiro nga 0.5-1.0 buli kkiro 100 ez’ebinyeebwa. Kakasa nti ettaka lya diatomaceous lisaasaanyizibwa kyenkanyi mu nsigo zonna, era ensigo zitereke mu kifo ekiyonjo era ekikalu mu bidomola ebisibiddwa okuziyiza okuddamu okuyingira."
what are the benefits of crop domestication.,"increased yield, improved disease resistance and drought tolerance, eased harvest and improved the taste and nutritional value of crop plants"
Does the United States import more agricultural products than we export?,"Ebyobulimi birina bbalansi ennungi ey’ebyobusuubuzi, ekitegeeza nti tusindika (okutunda ebweru) okusinga bwe tuleeta (okuyingiza) ."
do some people experience digestives issues after consuming food with preservatives.,"Abantu abamu bayinza okufuna ensonga z’okugaaya emmere, gamba ng’okuzimba, ggaasi, n’ekiddukano, oluvannyuma lw’okulya emmere erimu ebirungo ebikuuma emmere. Kino kiyinza okuba nga kiva ku kuba nti ebirungo ebimu ebikuuma emmere, nga sorbic acid ne benzoic acid, bisobola okunyiiza oluwuzi lw’omusuwa gw’okugaaya emmere."
name any veterinary care that should be given to livestock,okukeberebwa bulijjo n’okugema
which diseases can be spread by whiteflies?,"The whiteflies can spread viruses such as CMD and CBSD, which can cause significant losses for farmers."
when do the eggs of armyworms turn black.,prior to hatching
which critical factors are considered in ensuring healthy plant growth and high yields.,"Okuteekateeka obulungi ettaka, okufukirira, n’okulwanyisa ebiwuka"
what is pest management?,Enzirukanya y’ebiwuka y’enkola y’okulwanyisa ebiwuka n’endwadde eziyinza okwonoona ebirime
why do place the fertilizers in close proximity to the plant roots.,kikakasa nti ebiriisa bifunibwa mangu ebimera okusobola okubitwala n’okubikozesa.
Is buying local and organic the same thing?,Nedda.Ekitundu nnyonyola eyesigamiziddwa ku kifo
What is the recommended seed rate of maize in an acre garden?,"The recommended seed rate for maize can vary depending on various factors such as the maize variety, soil fertility, planting method, and desired plant population. However, as a general guideline, the recommended seed rate for maize in an acre garden is typically between 25,000 to 40,000 seeds per acre"
How can a farmer control termites,"Emu ku ngeri ezisinga okufuga ensiri kwe kuyita mu nkola ennungi ey’obuwangwa. Kuno kw’ogatta okukuuma obulamu obulungi n’obugimu bw’ettaka, okwewala okufukirira ennyo oba okujjula amazzi, n’okukuuma ebisigalira by’ebirime n’omuddo nga bifugibwa. Enkola zino zisobola okuyamba okuleetawo embeera etali nnungi nnyo eri enseenene n’okukendeeza ku bungi bwazo."
Which disease make maize leaves to turn yellow,Maize chlorotic mottle virus:
why do beans need to be intercropped with groundnuts and other legumes.,"roundnuts fix nitrogen in the soil, which can benefit the growth of other crops. Groundnuts can also provide a support structure for climbing beans."
what are other reasons why crops are sprayed,"okutangira envunza, ebibe, n’ebiwuka okufuula emmere obucaafu nga eterekebwa"
What are the common pests and diseases that affect maize?,"armyworms, cutworms, ne aphids, ate endwadde nga kasooli smut ne grey leaf spot nazo zisobola okukosa ekirime"
can crop rotation control CAD in cassava?,Crop rotation can help to break the cycle of disease and reduce the risk of infection.
which teso region districts are affected by drought.,"Amuria, Bukedea, Kaberamaido, Katakwi, Kumi, Ngora, Serere, ne Soroti"
what Crop residues can be used to make farmyard manure.,"ebikoola by’emmwaanyi, ebikoola by’ebinyeebwa, n’obusaanyi bw’omuceere"
What are the measures farmers can take minimize crop losses during storage,"Harvesting crops at the right time and in the right way is important to ensure that they are not damaged during the process. The crops should be harvested when they are mature but not overripe, and the tools used should be in good condition to prevent damage to the crops."
does harvesting maize early before its dried causes mycotoxin contamination?,"Emmwaanyi ezikungula nga tezinnaba kukala mu bujjuvu zibeera mu bulabe bwa maanyi obw’okukwatibwa obutwa bwa mycotoxin, ekiyinza okuleeta obulabe eri obulamu bw’abantu n’ebisolo singa zirya."
why has Food and Drug Administration has approved the use of antibiotics in treating animals?,"okujjanjaba endwadde mu bisolo ebirwadde, okufuga endwadde eri ekibinja ky’ebisolo ng’ebimu ku bisolo birwadde n’okuziyiza endwadde mu bisolo ebiri mu bulabe bw’okulwala"
name examples of organophosphate insecticides that are commonly used for controlling bean pests.,eddagala lya chlorpyrifos ne malathion.
"In growing Irish potatoes,row planting and use of holes, which one conserves fertilizers?",Okusimba ennyiriri
What kind of technology do farmers use in the field to help the environment?,"GPS (global positioning systems) is a common technology used by farmers. With GPS, farmers can track every location on the farm and know what the soil needs at that exact location"
Which crops are most susceptible to armyworm infestation in Uganda?,"kasooli, muwogo, emmwaanyi, n’omuceere"
which human activities causes drought.,"over-extraction of groundwater, water pollution, and inefficient water use can exacerbate drought conditions and reduce the availability of water for agriculture, industry, and domestic use"
why do cassava propagated through stem cuttings matures faster compared to seed propagation.,Kino kiri bwe kityo kubanga ebikoola by’ebikoola byalina dda entandikwa y’omutwe mu nkulaakulana era bisobola okutandika amangu emirandira ne bitandika okukula.
what is the approximate Global agricultural production of food.,11 billion tonnes
why not fully dried maize susceptibility to mold and insect damage.,the moisture content is higher
what is the purpose of threshing .,The purpose of the threshing process is to detach the grain from the panicles
Why are crops sprayed with pesticides?,"okukuuma ebirime okuva ku biwuka, omuddo, n’endwadde za ffene nga bikula"
What are the limitations of using seeds for propagations.,"Seeds produced by sexually reproducing plants can exhibit genetic variability, resulting in inconsistent traits among plants grown from seed."
what is the best time to plant maize,You need to plant your maize at the onset of the rains either in March or in August to Septembe
give two cultural crop protection practices.,crop rotation and intercropping.
Which pests affects mostly beans?,Bean weevils
what is the optimal temperature and humidity in the greenhouse suitable for maize plants.,ebimera by’emmwaanyi byetaaga ebbugumu ery’ebbugumu n’obunnyogovu obw’amaanyi okusobola okukula obulungi
which nutrients are present in farmyard manure.,"nitrogen, phosphorus, and potassium,"
what is soil?,"Ettaka kitabuddwamu eby’obugagga eby’omu ttaka, ebiramu, amazzi, empewo n’ebiramu ebizibu."
How can couch grass be effectively controlled from the cassava garden.,Okuzimba ebikuta
Name the most common types of beans that are milled for human consumption.,"black beans, navy beans, and pinto beans"
what is multiple cropping.,several crops are grown sequentially in one year
What are some of the methods that farmers in Uganda use to control armyworms?,"early detection, biological control, chemical control, crop rotation, and cultural control"
What bean variety has early maturity and how many days?,Omusango gwa NARO 1
What is CAN.,"CAN kigimusa kya granular nga kirimu omutabula gwa calcium ne ammonium nitrate. Ensibuko nnungi ya calcium ne nitrogen byombi, ebikulu mu kukula kw’ebimera"
Why do horses sleep standing up?,"Amagulu gaabwe gasobola okusibira mu kifo kyabyo ne gazisobozesa okwebaka nga tezigudde. Olw’okuba nsolo za muyiggo, embalaasi zitera obutawulira bulungi nga zeebaka ku ttaka, era okusinga okwebaka kwazo kukolebwa misana okusinga ekiro ng’ebisolo ebirya ebisolo bifulumye okuyigga. Embalaasi zirina emigongo emigolokofu, n’olwekyo teziyinza kusituka mangu."
which countries do we find african armyworm,"Tanzania, Kenya, Uganda, Ethiopia, Somalia, Malawi, Zimbabwe, Zambia, ne South Afrika"
how does neem oil works as pesticide.,"It works by disrupting the feeding and reproductive systems of insect pests. Neem oil is effective against a range of pests that attack bean leaves, including aphids, bean beetles, and whiteflies."
which other way can farmers control soil borne diseases.,Incorporate organic matter such as compost and manure into the soil to improve soil structure and reduce soilborne disease buildup.
which organic fertilizer is good for cassava cultivation.,compost or animal manure
what does nitrogen deficiency causes?,"okukula okulemererwa, ebikoola okufuuka ebya kyenvu, n’amakungula okukendeera."
"what nutrients can i use for water regulation, disease resistance, and stress tolerance in plants.",ekirungo kya potassium
Is buying organic food better for the environment than buying food produced conventionally?,"Ultimately, environmental sustainability comes down to the farmer, whether they produce goods organically or conventionally."
why is cassava versatile?,"Cassava can be processed into a variety of products, such as flour, starch, and tapioca pearls. These products can be used in a range of dishes, including bread, cakes, noodles, and dumplings."
How is technology in agriculture changing?,Tractor technology is changing! Auto?steer and GPS (global positioning systems) help make farming more efficient. Tractor technology is also helping the environment.
how can farmers use test kit to test soil PH.,"To use the kit, farmers can collect a soil sample from their field or garden, mix it with distilled water, and then add a few drops of the pH indicator solution. The color of the solution will then be compared to the chart, which indicates the pH level of the soil. A pH level of 7 is considered neutral, while levels below 7 indicate acidic soil and levels above 7 indicate alkaline soil."
what does NPK stands for.,"(nayitrojeni, phosphorus, ne potassium"
In what ways can farmers manage maize streak disease.,"Planting resistant or tolerant maize varieties that have been developed through breeding programs. Practicing good weed control, as certain weed species can serve as alternative hosts for the virus and leafhoppers. Implementing integrated pest management strategies to control leafhopper populations, such as using insecticides or employing physical barriers. Proper crop rotation and maintaining good agronomic practices to enhance plant health and reduce disease pressure. Removing and destroying infected plants and plant debris to reduce the source of the virus. It is essential for farmers to work closely with agricultural extension services and research institutions to access information on resistant varieties, disease management strategies, and early warning systems for maize streak disease in their specific region."
Does most of the money I pay for food go back to the farmer?,Not necessarily
what is the importance of agriculture.,"Kitondawo emirimu, kiyamba ebyenfuna byaffe n’okutuwa ebyetaago byaffe ebisookerwako"
what are Herbicide resistant seeds.,"have a gene implanted into their genome that allows the plants to tolerate exposure to herbicides, including glyphosate"
why are farmers advisable to leave bean stalk in the garden.,". Ebikoola by’ebinyeebwa birimu ebiriisa bingi n’ebintu ebiramu, ebiyinza okuyamba okutumbula obugimu bw’ettaka n’ensengeka y’ettaka. Ebikoola by’ebinyeebwa bwe bivunda, bifulumya ebiriisa ne bidda mu ttaka, ne bisobola okubeerawo eri ekirime ekiddako."
